"id","zip_code","municipality","county","lat","lng","locality","locations"
35615,11546,"Stockholm","Stockholm",,,"STOCKHOLM","{300000,440016,500004,600065}"
35616,11547,"Stockholm","Stockholm",,,"STOCKHOLM","{300000,440016,500004,600064,600065}"
35617,11548,"Stockholm","Stockholm",,,"STOCKHOLM","{300000,440016,500004,600064,600065}"
35618,11549,"Stockholm","Stockholm",,,"STOCKHOLM","{300000,440016,500004,600064,600065}"
35619,11550,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500004,600064,600021}"
35620,11551,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500004,600064,600021}"
35621,11553,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500004,600021}"
35622,11556,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,400021,500004,600021}"
35623,11557,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500004,600064,600021}"
35624,11558,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500004,600021}"
35625,11559,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500004,600021}"
35626,11560,"Stockholm","Stockholm",,,"STOCKHOLM","{300000,440016,500004,600021}"
35627,11620,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500000}"
35628,11621,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500000}"
35629,11622,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500000}"
35630,11623,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500000}"
35631,11624,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500000}"
35632,11625,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500000}"
35633,11628,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500000}"
35634,11629,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500000}"
35635,11630,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500000}"
35636,11631,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500000}"
35637,11632,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500000}"
35638,11633,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500000}"
35639,11634,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500000}"
35640,11635,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500000}"
35641,11636,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500000}"
35642,11637,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500000}"
35643,11638,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500000}"
35644,11639,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500000}"
35645,11640,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500000}"
35646,11641,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500000,600029}"
35647,11642,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500000}"
35648,11643,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500000,600029}"
35649,11644,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,400018,440016,500000,600029}"
35650,11645,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,400018,440016,500001,500000,500004,600045,600029,600105,600106}"
35651,11646,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500000}"
35652,11647,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500000,600029}"
35653,11648,"Stockholm","Stockholm",0,0,"STOCKHOLM","{300000,440016,500000}"
35654,11661,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500000}"
35655,11662,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500000}"
35656,11663,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500000}"
35657,11664,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500000}"
35658,11665,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500000}"
35659,11666,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500000}"
35660,11667,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500000}"
35661,11668,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500000,600029}"
35662,11726,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500000}"
35663,11727,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500000}"
35664,11728,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500000}"
35665,11729,"Stockholm","Stockholm",59.3326,18.0649,"STOCKHOLM","{300000,440016,500000}"
