"id","created","modified","rating","text","venueid","venuename","agentid","agentname","invite_id"
314092,"2018-02-26 16:35:52.109","2018-02-26 16:36:25.524",5,"Victor är en utmärkt mäklare, finner inget negativt att säga. ",1752480,"HusmanHagberg Vasastan",1696,"Victor Sjölund",1713147
314096,"2018-02-26 16:42:24.075","2018-02-26 16:42:25.129",5,"Snabb på återkoppling, förtroendeingivande, seriös. Mycket lugn och informativ vid kontraktsskrivning. ",1565352,"Svenska Mäklarhuset Kungsholmen",3057,"Michael Schlumpf",1712235
314112,"2018-02-26 17:29:41.681","2018-02-26 17:30:25.17",5,"En korrekt, effektiv, lyhörd, punktlig, tillmötesgående, aldrig omöjlig, hjälpsam o s v mäklare. 
M v H
Siwi Robertz Norrbelius
003584573421910",3549966,"HusmanHagberg Järfälla",4928,"Torbjörn Johansson",1654877
314116,"2018-02-26 17:48:30.945","2018-02-26 17:48:32.547",5,"Väldigt enkel att ha att göra med, inga konstigheter. Tydlig, påläst och hjälpsam. Professionell helt enkelt.",1752480,"HusmanHagberg Vasastan",1696,"Victor Sjölund",1713166
314130,"2018-02-26 18:49:21.708","2018-02-26 18:49:25.192",4,"Vaken, positiv och realistisk. ",1752480,"HusmanHagberg Vasastan",1696,"Victor Sjölund",1713154
314139,"2018-02-26 19:19:32.01","2018-02-26 19:20:25.27",5,"Noggrann, trevlig, bra smak och tips för att optimera lägenhet, bra kontakt med både mig och spekulanter. Kommer ihåg allt, det gillade jag.",1752480,"HusmanHagberg Vasastan",1696,"Victor Sjölund",1713153
314153,"2018-02-26 20:26:03.676","2018-02-26 20:26:25.116",5,"Proffsigt och tryggt bemötande. Hade inte mer kontakt än nödvändigt. Fick snabba svar på samtliga frågor. Hanterade mitt sena bud i budgivningen på ett väldigt schysst sätt!",1752480,"HusmanHagberg Vasastan",1696,"Victor Sjölund",1713152
314157,"2018-02-26 20:33:44.087","2018-02-26 20:34:25.179",5,"Glatt och trevligt bemötande. Levde upp till våra förväntningar och kommer att rekommendera honom till andra.",4013487,"HusmanHagberg Nyköping Oxelösund",,,1704643
314163,"2018-02-26 20:56:00.419","2018-02-26 20:56:25.199",4,"Bra och sympatisk kille. Bra bemötande, inte alls påträngande eller ""säljig"", nöjd med min upplevelse av första bostadsköp. ",3450172,"Skandiamäklarna Järfälla",4604,"Johan Magnusson",1703728
314175,"2018-02-26 21:53:24.781","2018-02-26 21:53:32.893",5,"Mycket trevligt och kompetent bemötande. Victor hade svar på alla våra frågor och var mycket snabb i återkopplingen. Kommer definitivt rekommendera honom till andra.",1752480,"HusmanHagberg Vasastan",1696,"Victor Sjölund",1713149
314226,"2018-02-27 08:48:47.153","2018-02-27 08:49:25.129",5,"Han var mycket vänlig och tillmötesgående. Han beklagade flera gånger att budet gick ner, men det kunde ju inte han rå för.",3450172,"Skandiamäklarna Järfälla",4558,"Kalle Nilsson",1713404
314301,"2018-02-27 11:18:23.385","2018-02-27 11:18:25.539",5,"Tryggt, stabilt och bra diskussioner för att komma i mål på ett bra sätt. Verkligen en bra bemötande och samarbete. Upplevde att Ola var väldigt fokuserad på att stötta och lösa och ingenting var något problem.",772106,"HusmanHagberg Enskede",584,"Ola Sjölund",1711574
314325,"2018-02-27 12:42:33.211","2018-02-27 12:43:25.138",5,"Jenny är prfoessionell och mkt trevlig från första till sista sekund med både köpare o säljare. Hon har gjort ett oerhört grundligt arbete för att hitta rätt tidpunkt för visning, rätt pris, rätt köpare osv. På en marknad som inte varit jättelätt har hon navigerat oss fram till en bra försäljning. Högsta betyg! ",1711469,"Svenska Mäklarhuset Bromma",4724,"Jenny Nordstrand",1713881
314336,"2018-02-27 13:13:55.487","2018-02-27 13:14:25.607",2,"Hej !
Jag tycker inte han var proffsig.
Han svarar efter några dagar när jag frågat något
och säger till mig att jag ska ha tålamod,
Jag kommer inte anlita Cristian något mer.
I jämförelse med Danys Ayobi som svarade på engång.

Mvh Pauline Schönström",3549980,"HusmanHagberg Upplands Väsby",,,1696647
314371,"2018-02-27 15:17:08.06","2018-02-27 15:17:25.175",5,"Han gjorde ett väldigt bra jobb. Trevlig och mycket engagerad. Kan verkligen rekommendera honom.
",3673341,"Svenska Mäklarhuset Uppsala",4283,"Magnus Nilsson",1711542
314378,"2018-02-27 15:46:28.061","2018-02-27 15:49:25.29",5,"Otroligt nöjd med Josefine som alltid var tillgänglig och hjälpsam. ",3734739,"Position Fastighetsförmedling",2291,"Josefine Gunnarsson",1704841
314396,"2018-02-27 16:18:22.767","2018-02-27 16:18:24.792",5,"Trevlig, kunnig, visade personligt engagemang. Jag kan varmt rekommendera Jonas.",3549444,"Svenska Mäklarhuset Södermalm",1582,"Jonas Sjönvall",1714201
314524,"2018-02-28 08:08:01.498","2018-02-28 08:08:40.496",5,"Mycket bra! Jonas var toppen genom hela processen. Levde mycket bra upp till våra krav på mäklare. Lugn. Seriös. Kunnig. ",3549444,"Svenska Mäklarhuset Södermalm",1582,"Jonas Sjönvall",1714164
